id,nomPropre,created_at,name,video_links,picture_profile,placeId,ratings
7,maison.louvardChIJXUJjHI9v5kcRaVQmBJ0E8nc,1712723357000,Maison Louvard,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710858001/xxfny7pabfxese8ynosy.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858045/caimni19anpuej3ftxne.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858079/gu6ajqzpahglrvpcrayl.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/K6hsvdUXW9C5W8nBM7Pz0nC3gsE/Xe4wAA../Maison+Louvard.jpg,ChIJXUJjHI9v5kcRaVQmBJ0E8nc,4.3
10,maison.maeChIJvzy3Eypv5kcRiG1YkfNGHMw,1712723359683,Maison Maé,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710859828/r6yzcei0bvxaaznnui3h.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710859882/e9sgiq3klr9nuxxohmth.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710859914/ndf5ju1fomf6ao2tayak.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/1nOWnX4o8vYZMgwdv2mpfYBgLT4/0usiqA../Maison+Ma%C3%A9.jpg,ChIJvzy3Eypv5kcRiG1YkfNGHMw,4.6
34,marcus.pizze.amoreChIJy4ZPFOJt5kcRxxE6jOjnxE4,1712723463114,Marcus Pizze Amore,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711624143/dxk4jskxdpwsf97uojna.mp4'],https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/_V-UAYcsQzdTnfYKdOD5KmQ-svc/BlQygQ../Marcus+Pizze+Amore.jpg,ChIJy4ZPFOJt5kcRxxE6jOjnxE4,4.8
27,marvelyChIJJ5uMpz1z5kcRQbTr01qAuoA,1712723436553,Marvely,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710869998/mtk3if5cgsxdc3uk9x0d.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710870077/fa3ljkitpqltt2ff6huu.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710870134/b0dpazididpqege4gwke.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/BhOz707wONNuOqIbSCNg_zbROjc/IKECSw../Marvely.jpg,ChIJJ5uMpz1z5kcRQbTr01qAuoA,4.9
38,maslow.restaurant.paris.1ChIJ9SW_2SJv5kcRYZJVfm07LoM,1712723487049,Maslow - Restaurant Paris 1,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711624425/jrms85vdx3579zhrbvbo.mp4'],https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/4KfUi0t0EsfKsM02KcTyoddwUmQ/LT1cGQ../Maslow+-+Restaurant+Paris+1.jpg,ChIJ9SW_2SJv5kcRYZJVfm07LoM,4.8
30,mopaChIJZWuKoD1u5kcR50NbI_39dcE,1712723439314,Mopa,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711458398/nfohsodkujmh4pkgta7r.mp4'],https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/vnZiG3BAxOzWOnE1Zvkhd2OkPxc/Qi0HhQ../Mopa.jpg,ChIJZWuKoD1u5kcR50NbI_39dcE,4.8
43,oya.fusionChIJy2jlhvRv5kcRAgr7DCblDlU,1712723511582,OYA Fusion,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1711788522/uei782oifyn7hvvnw2er.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1711788565/qgvwz1pneixhmagfd8pi.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/B9K1qen_dj6GwqiyadjSVt-aYLs/dpKb0w../OYA+Fusion.jpg,ChIJy2jlhvRv5kcRAgr7DCblDlU,4.4
14,pasticeria.simonaChIJSZ1JSYhv5kcRtIwuAEqXRoI,1712723383952,Pasticeria Simona,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710863197/qbetit0kdh7zf9yfw1w9.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710863213/efipbhmtnevgodgk0lgc.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710863242/vohizcyr2siolzysoxil.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/zWjdRjkbQ-eh-hrJvFbLhqA0sO8/F-xHNA../Pasticeria+Simona.jpg,ChIJSZ1JSYhv5kcRtIwuAEqXRoI,4.3
29,plan.d.dwich.glaceChIJqcm0XHVv5kcRAdg_SFD1ZZQ,1712723438434,Plan D - DWICH & GLACE,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711457946/j0mmlxiuvtcjq0myfbti.mp4'],https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/CpT2AVkRy_sr7AhubIjF6hAf9L4/PG3kJw../Plan+D+-+DWICH+%26+GLACE.jpg,ChIJqcm0XHVv5kcRAdg_SFD1ZZQ,4.8
18,puffy.cookiesChIJq5AFgFhv5kcRsokzkzG2ToQ,1712723387649,Puffy Cookies,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710866700/zx76j0nfhuawanrlykzm.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866727/xlelm0do58p4pzzimawu.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866740/rxmkprvfyv93gfqqiedb.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/7vYiwxkZ9POEVsyOYtOupgZ21AY/yX3sTA../Puffy+Cookies.jpg,ChIJq5AFgFhv5kcRsokzkzG2ToQ,4.6
12,quai.nedyChIJ041eX3Fx5kcR0Kh5i1aJ4PI,1712723361505,Quai Nedy,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710860161/aef7wrc1szwmdelpfih4.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710860263/dt1qxbbmydb52uegufdr.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710860336/vyru6elkrw4v9xz9i0ri.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/5B98eJ9AE8KduhCgoefD9pqG9us/oNIElw../Quai+Nedy.jpg,ChIJ041eX3Fx5kcR0Kh5i1aJ4PI,3.7
15,ramen.wangChIJOVhA5XRx5kcRzbgA7UFiWNs,1712723384837,RAMEN WANG,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710863282/atj5xep2u6acixu4snq9.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710863311/cfoyb4khtq1lwpgztc1f.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710863856/d1im17yuuri2yb9gytgz.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/--MvSiRbSZ8mBCPhm-0bA3Pno4Q/IZGeVA../RAMEN+WANG.jpg,ChIJOVhA5XRx5kcRzbgA7UFiWNs,4.8
11,ravioli.folieChIJIb6bdI9v5kcR6l5WUgZvcjM,1712723360577,Ravioli Folie,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710860027/xaglkrwqefjrljfcoyrf.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710860099/v6zrdj2pu0rwvgznzgje.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710860121/cqxubsotqzqugggsfjvw.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/vNcuHBOhW88WKkpQospwTbE5fN0/Z1-vsg../Ravioli+Folie.jpg,ChIJIb6bdI9v5kcR6l5WUgZvcjM,3.9
44,rice.burger.kitchenChIJwW0cXKpv5kcRQt-2CQ9J7rk,1712723512452,Rice & Burger Kitchen,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711788920/fer26k0gqoldldkmjgs3.mp4'],https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/zRFDrnX7T_MW7DAsUQRD4V_t7B0/fBLCQw../Rice+%26+Burger+Kitchen.jpg,ChIJwW0cXKpv5kcRQt-2CQ9J7rk,4.9
9,tableaux.parisChIJ_Z0Af5Jv5kcRUuvAU-ZKaT0,1712723358775,Tableaux Paris,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710858951/s0nq2oeajiplyigdnp8a.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710859007/zxysk0add2bw5porh86n.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/Duosstwk0esi36KETLJkj51o8k0/kGw1pw../Tableaux+Paris.jpg,ChIJ_Z0Af5Jv5kcRUuvAU-ZKaT0,4.9
25,taco.mesaChIJT3S9CYhv5kcRQbdZVUPGYak,1712723434307,Taco Mesa,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710869817/wk0grgssukjlsaraks72.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869839/mwvsgxtsuhiqdkgjljem.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869873/umv10xjcwmeywd1xmzja.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/VAb1erdttA7j5JVJvtu3hahjI48/zkQX1w../Taco+Mesa.jpg,ChIJT3S9CYhv5kcRQbdZVUPGYak,4.7
17,trantranzaiChIJkaroF1Nx5kcRwtSaDYsIELU,1712723386770,Trantranzai,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710866494/l6js5n876kxmbmiwpwwk.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866515/myqzytpodddkuhwxnfm9.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866623/k67d1f0xdpslp7u1qfpa.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/9o0C-lptSeuD1QlFrcNN4X-69Qw/SIqkrQ../Trantranzai.jpg,ChIJkaroF1Nx5kcRwtSaDYsIELU,4.4
42,wakanda.factory.paris.nationChIJ9cxIebxz5kcRlKFpuVusEZg,1712723490667,Wakanda factory Paris nation,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711788147/xetkxwrf6eeozaqqnz9x.mp4'],https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/wRsWiQSeEd8Ekeu9Su4j-Kdh9wY/kEktAg../Wakanda+factory+Paris+nation.jpg,ChIJ9cxIebxz5kcRlKFpuVusEZg,4.9
8,ysl.cafeChIJDfskeFFv5kcRvF3r4g19ZAI,1712723357920,YSL Cafe,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710858659/zjqyplqcnpq5nzvgamug.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858690/jswaca5gqaaivdoldnby.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858826/cmopawfgp8h3eh6xkogq.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/V1ms8PLDBGOa9b5suoVMgwyN394/olahMg../YSL+Cafe.jpg,ChIJDfskeFFv5kcRvF3r4g19ZAI,3.9
